rank,model,cer,wer,cer_wer_ratio,loanword_accuracy,samples_per_second,composite_score,cer_normalized,wer_normalized,loanword_normalized,speed_normalized,ratio_normalized
1,anthropic/claude-sonnet-4.6,0.00552884615384619,0.025000000000000022,0.0,0.885432634985522,0.029228739874238973,1.0,1.0,1.0,1.0,0.08696831615868314,0.5
2,google/gemini-2.5-pro,0.0658759260960311,0.15000000000000002,0.0,0.8732541304718106,0.026411719944246136,0.28208805443221147,0.0017123409803062595,0.0,0.8040089086859684,0.0,0.5
3,qwen/qwen3-max-thinking,0.06597943812194185,0.15000000000000002,0.0,0.8232945835462442,0.058803055713618484,0.0,0.0,0.0,0.0,1.0,0.5
